index,SMILE,FractionCSP3,SMR_VSA7,SlogP_VSA6,IP,HomoLumoGap,MinAbsEStateIndex,SlogP_VSA5,PEOE_VSA11,fr_ester,PEOE_VSA10,LF
151,CC(CC(F)(F)F)(F)F,1.0,0.0,0.0,0.433993344,0.41863,0.23659722222222257,13.344558822616634,0.0,0,6.4208216229260096,0.949390007
152,CC(Cl)(Cl)Cl,1.0,0.0,0.0,0.39595577,0.26298,1.083333333333333,6.923737199690624,3.792535935529771,0,0.0,0.698970004
153,CC(F)(F)Cl,1.0,0.0,0.0,0.436173907,0.32984,0.6195987654320989,6.923737199690624,0.0,0,0.0,1.255272505
154,CC(F)(F)F,1.0,0.0,0.0,0.482135692,0.48056,0.1875,6.923737199690624,0.0,0,0.0,1.707570176
155,CC(F)F,1.0,0.0,0.0,0.440398492,0.43548,0.8333333333333335,6.923737199690624,0.0,0,0.0,0.204119983
156,CCBr,1.0,0.0,0.0,0.37702165,0.2721,1.0625,6.923737199690624,0.0,0,0.0,-0.863279433
157,CCC(=O)C(F)(F)F,0.75,0.0,0.0,0.377949624,0.22668,0.46875,13.344558822616634,0.0,0,0.0,-1.744727495
158,CCC(F)(F)F,1.0,0.0,0.0,0.450925692,0.44822,0.7291666666666665,13.344558822616634,0.0,0,0.0,0.041392685
159,CCCBr,1.0,0.0,0.0,0.37396719,0.27139,1.1319444444444444,13.344558822616634,0.0,0,0.0,-1.387216143
160,CCCCCl,1.0,0.0,0.0,0.390299252,0.31668,0.8159722222222223,19.765380445542643,0.0,0,0.0,-1.920818754
161,CCCl,1.0,0.0,0.0,0.400733681,0.31872,0.7222222222222223,6.923737199690624,0.0,0,0.0,-0.879426069
162,CCF,1.0,0.0,0.0,0.433784461,0.42342,0.25,6.923737199690624,0.0,0,0.0,-0.659555885
163,CCl,1.0,0.0,0.0,0.414108329,0.32194,1.4722222222222223,0.0,0.0,0,0.0,-0.045757491
164,CCOC(=O)C(F)(F)F,0.75,0.0,0.0,0.39964439,0.27347,0.2516435185185184,6.923737199690624,0.0,1,0.0,-1.22184875
165,CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.41007766,0.37148,0.7318664965986394,6.923737199690624,0.0,0,0.0,-0.096910013
166,CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,1.0,0.0,0.0,0.41554179,0.35809,0.695514455782313,6.923737199690624,0.0,0,0.0,-0.200659451
167,CCOC(C(C(F)(F)F)F)(F)F,1.0,0.0,0.0,0.408771564,0.37146,0.6909722222222223,6.923737199690624,0.0,0,0.0,-0.394694954
168,CCOC(C(F)F)(F)F,1.0,0.0,0.0,0.406165483,0.3979,0.4193055555555556,6.923737199690624,0.0,0,0.0,-0.681936665
169,CCOC(F)(F)F,1.0,0.0,0.0,0.41660236,0.41302,0.3159722222222223,6.923737199690624,0.0,0,0.0,-0.401209493
170,CF,1.0,0.0,0.0,0.467051091,0.43841,0.5,0.0,0.0,0,0.0,0.447158031
171,COC(=O)C(F)(F)F,0.6666666666666666,0.0,0.0,0.407841876,0.27392,0.676412037037037,0.0,0.0,1,0.0,0.0
172,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.41636913,0.37476,0.12463860544217686,0.0,0.0,0,0.0,0.681241237
173,COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,1.0,0.0,0.0,0.39501384,0.32127,0.7029166666666669,0.0,0.0,0,0.0,0.719331287
