index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
51,C(C(C(F)F)(F)F)OC(F)F,0,0.0,4.736862953800049,6.606881964512918,0.7210243391849618,-0.31638582177832664,25.566360963912786,0.31638582177832664,0.23709475893708243,0.23709475893708243,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0,0.0,0.0,0.0,0.32142857142857134,-0.18316506171239244,9.174246925668676,0.18316506171239244,0.0,0.0,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0,0.0,0.0,0.0,0.32142857142857134,-0.1663811571479959,9.968834452973246,0.1663811571479959,0.0,0.0,3.59439255
54,C(C(Cl)Cl)(F)F,0,0.0,0.0,0.0,0.19047619047619047,-0.20740518153243326,11.261714435109246,0.20740518153243326,0.0,0.0,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.20497860044433855,9.423393153084394,0.20497860044433855,0.0,0.0,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0,0.0,0.0,0.0,0.32142857142857134,-0.20133238065179046,9.174246925668676,0.20133238065179046,0.0,0.0,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0,0.0,0.0,0.0,0.32142857142857134,-0.19948948791832122,9.968834452973244,0.19948948791832122,0.0,0.0,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0,0.0,0.0,0.0,0.32142857142857134,-0.19752325294116724,10.763421980277812,0.19752325294116724,0.0,0.0,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.22343516312045322,10.217980680388962,0.22343516312045322,0.0,0.0,2.389166084
60,C(C(F)(Cl)Cl)F,0,0.0,0.0,6.674590972274908,0.15152288168283157,-0.24470399391618006,11.261714435109246,0.24470399391618006,0.0,0.0,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0,0.0,0.0,0.0,0.32142857142857134,-0.18560241483439555,9.663594384459989,0.18560241483439555,0.0,0.0,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.18503779165457987,10.217980680388962,0.18503779165457987,0.0,0.0,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0,0.0,0.0,0.0,0.32142857142857134,-0.17946189757442443,10.763421980277812,0.17946189757442443,0.0,0.0,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0,0.0,0.0,0.0,0.32142857142857134,-0.17746371261313834,11.55800950758238,0.17746371261313834,0.0,0.0,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.22164804560577991,11.01256820769353,0.22164804560577991,0.0,0.0,2.596597096
