index,SMILE,IP,MinAbsEStateIndex,FpDensityMorgan3,BCUT2D_MWHI,FractionCSP3,Chi2v,FpDensityMorgan2,HomoLumoGap,AvgIpc,SlogP_VSA6,LF
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,3.6859567901234565,1.0,35.53978294491513,1.0,2.7053219904562535,1.0,0.29286,1.253297578463043,0.0,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,3.983024691358024,1.0,35.53939814460362,1.0,2.2306254682373545,1.0,0.29392,1.253297578463043,0.0,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,2.36496913580247,1.5714285714285714,35.5397789142122,1.0,2.519062797379226,1.5714285714285714,0.28215,1.3143204867061786,0.0,0.491361694
60,C(C(F)(Cl)Cl)F,0.41872573,1.3649691358024691,1.6666666666666667,35.53939609342832,1.0,2.1404735390782688,1.6666666666666667,0.29288,1.3516441151533922,0.0,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,1.46875,0.875,79.91998504754596,1.0,2.9874170998445164,0.875,0.24622,1.253297578463043,0.0,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,1.8248456790123464,1.4285714285714286,35.53955352216257,1.0,2.4425058852560486,1.4285714285714286,0.28432,1.3143204867061786,0.0,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,3.793981481481481,0.875,35.49882169611609,1.0,1.9449111825230676,0.875,0.32408,1.253297578463043,0.0,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,3.550925925925925,1.0,35.495895454154365,1.0,1.4702146603041686,1.0,0.33644,1.253297578463043,0.0,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0.42559675,2.797067901234569,1.5714285714285714,35.49875615309692,1.0,1.7294163357146624,1.5714285714285714,0.31698,1.3143204867061786,0.0,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,6.578125,0.6363636363636364,19.450466065699977,1.0,1.5699111825230678,0.6363636363636364,0.42021,1.5812853946781595,0.0,3.414973348
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,4.7361111111111125,0.9,19.431905590867846,1.0,1.4457805568128046,0.9,0.41225,1.5894951972794726,0.0,1.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,1.9166666666666672,1.5714285714285714,79.91873514814836,1.0,2.721600380221818,1.5714285714285714,0.25572,1.3143204867061786,0.0,0.0
69,C(C(F)(F)F)(Cl)Cl,0.42308256,2.2569444444444455,1.2857142857142858,35.53916871205997,1.0,1.9385737093057702,1.2857142857142858,0.29568,1.3143204867061786,0.0,0.113943352
70,C(C(F)(F)F)(F)(F)F,0.494092245,6.0625,0.625,19.46850530838824,1.0,0.9955181380852692,0.625,0.47485,1.253297578463043,0.0,4.0
71,C(C(F)(F)F)(F)Br,0.41074817,1.703125,1.4285714285714286,79.91873364467328,1.0,1.6462396328429685,1.4285714285714286,0.27328,1.3143204867061786,0.0,0.462397998
72,C(C(F)(F)F)(F)Cl,0.434961906,3.229166666666668,1.4285714285714286,35.495779193755105,1.0,1.2254841597643844,1.4285714285714286,0.32506,1.3143204867061786,0.0,0.770852012
73,C(C(F)(F)F)(F)F,0.466143167,4.20138888888889,1.1428571428571428,19.427405977581422,1.0,0.8423090497599275,1.1428571428571428,0.43772,1.3143204867061786,0.0,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,1.798541666666667,1.2941176470588236,19.434441632646923,1.0,2.564439179782366,1.0588235294117647,0.41176,1.980691454762246,0.0,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,2.010416666666667,1.3636363636363635,19.42831599857701,1.0,1.4212515750195418,1.2727272727272727,0.44026,1.564517736154244,0.0,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,2.4895833333333335,1.5,19.418021396751197,1.0,1.254395240240068,1.4,0.43354,1.6021581478790754,0.0,1.149219113
77,C(C(F)(F)F)Br,0.40375793,0.9166666666666665,1.5,79.91872958323326,1.0,1.309542651983764,1.5,0.27033,1.3516441151533922,0.0,0.505149978
78,C(C(F)(F)F)C(F)(F)F,0.475636481,2.708333333333333,0.8888888888888888,19.42410049543594,1.0,1.4071318496053382,0.8888888888888888,0.46237,1.1431558784658322,0.0,2.328379603
79,C(C(F)(F)F)Cl,0.431566028,1.2569444444444442,1.5,35.49566354483417,1.0,1.0160694400229873,1.5,0.31956,1.3516441151533922,0.0,0.662757832
