SMILE,LF,GWP,IP,EA,HomoLumoGap
COC(C(F)(F)F)(C(F)(F)F)F,0.568201724,2.593286067,0.411462808,-0.138737095,0.37417
COC(C(F)(F)F)(F)F,0.698970004,2.873320602,0.432078413,-0.162607832,0.41061
COC(C(F)(F)F)C(F)(F)F,-0.749579998,0.910090546,0.387988684,-0.139938644,0.35212
COC(C(F)Cl)(F)F  ,0.155336037,2.133538908,0.402516034,-0.099723364,0.32347
COC(C(OC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,0.230448921,2.340444115,0.38929453,-0.12740892,0.39374
COC(F)(F)F,0.69019608,2.789580712,0.433571628,-0.1837117,0.42573
COCC(C(F)(F)F)(F)F,-1.161150909,0.204119983,0.37282148,-0.137866954,0.33713
COCC(C(F)F)(F)F,-1.148741651,0.225309282,0.362325373,-0.138579846,0.33121
COCC(F)(F)F,-1.113509275,0.31386722,0.37569168,-0.156082284,0.35254
FC(F)(F)C(OC(F)F)C(F)(F)F,1.348304863,3.482873584,0.43157393,-0.13759502,0.39668
FC(F)(OC(F)F)C(F)(F)OC(F)F,1.127104798,3.521138084,0.43449436,-0.14223169,0.42663
FC(F)(OC)C(F)(F)OC,0.230448921,2.305351369,0.39352519,-0.154643989,0.39965
FC(F)OC,0.041392685,2.133538908,0.416288795,-0.19329494,0.4183
FS(F)(F)(F)(F)F  ,3.505149978,4.401400541,0.536314379,-0.019859577,0.33848
N(F)(F)F,2.755112266,4.240549248,0.484370715,-0.149762933,0.3711
O=COC(F)(F)C(F)(F)F,0.556302501,2.775974331,0.420344907,-0.06595397,0.27934
O=S(=O)(F)F,1.556302501,3.665580991,0.482147797,-0.073929448,0.33379
OCCF,-1.356547324,-0.27572413,0.385074629,-0.166982671,0.35533
