atom,ddec,,atom1,gcn1,ddec1
N,-0.423082,,N,-0.245763,-0.232713822
N,-0.214079,,N,-0.198796,-0.191869117
N,-0.228203,,N,-0.244798,-0.23618336
N,-0.221637,,N,-0.195985,-0.182960093
N,-0.213073,,N,-0.242006,-0.232713822
N,-0.229614,,N,-0.193531,-0.191869117
N,-0.211868,,N,-0.243382,-0.23618336
N,-0.229903,,N,-0.193828,-0.191869117
N,-0.225103,,N,-0.244896,-0.232713822
N,-0.205753,,N,-0.199958,-0.191869117
O,-0.541632,,O,-0.40765595,-0.431382185
O,-0.53831,,O,-0.4149192,-0.461763036
O,-0.541605,,O,-0.4153995,-0.431382185
O,-0.552818,,O,-0.40540248,-0.461763036
O,-0.574955,,O,-0.41850957,-0.431382185
O,-0.548213,,O,-0.40765235,-0.468349534
O,-0.539666,,O,-0.419806,-0.439226639
O,-0.529979,,O,-0.41390345,-0.44986701
O,-0.5356,,O,-0.41301128,-0.439226639
O,-0.532449,,O,-0.41764793,-0.468349534
O,-0.51193,,O,-0.4049214,-0.44986701
O,-0.530106,,O,-0.41814524,-0.461763036
O,-0.520682,,O,-0.41053173,-0.461763036
O,-0.510654,,O,-0.42110807,-0.461763036
O,-0.508456,,O,-0.40256637,-0.44986701
O,-0.502958,,O,-0.42414513,-0.468349534
O,-0.524789,,O,-0.41715357,-0.439226639
O,-0.478949,,O,-0.4136379,-0.461763036
O,-0.494797,,O,-0.4136459,-0.439226639
O,-0.485954,,O,-0.4139012,-0.461763036
O,-0.471613,,O,-0.4158775,-0.431382185
O,-0.48111,,O,-0.4080466,-0.461763036
O,-0.465298,,O,-0.41635928,-0.439226639
O,-0.487977,,O,-0.40990007,-0.461763036
O,-0.480424,,O,-0.42176485,-0.439226639
O,-0.495575,,O,-0.41107583,-0.468349534
O,-0.499343,,O,-0.4280784,-0.461763036
O,-0.47262,,O,-0.12729722,-0.134502605
O,-0.465923,,O,-0.411327,-0.439226639
O,-0.456132,,O,-0.41681415,-0.468349534
O,-0.472216,,O,-0.40548488,-0.431382185
O,-0.222112,,O,-0.43842033,-0.439226639
O,-0.215474,,O,-0.20686711,-0.183296129
