struc_name,E_LJ_single,E_LJ_two
type5_20,23.389796687243916,23.439431634689868
type5_21,19.626231729599,19.670932950071347
type5_22,16.560931376507142,16.60083143136808
type5_23,14.046378484152797,14.081574806640106
type5_24,11.970301745967731,12.000871776554618
type5_25,10.246212424169016,10.272225256245974
type5_26,8.806769916554686,8.828294878755287
type5_27,7.599046551769902,7.616159211733589
type5_28,6.58109307953373,6.5938791492834525
type5_29,5.719411317924482,5.727968901302461
type5_30,4.987070108103467,4.991510674650613
type5_31,4.362284439681844,4.362732848712767
type5_32,3.827332676509343,3.8239265167681538
type5_33,3.3677236849262613,3.360612142602406
type5_34,2.971550771429065,2.960893193873517
type5_35,2.628986698869994,2.6149509832708873
type5_36,2.33188623411678,2.3146471391563637
type5_37,2.07347134659733,2.05320879993144
type5_38,1.8480804195244218,1.8249778738943974
type5_39,1.6509673841421204,1.6252102591765265
type5_40,1.4781400370719666,1.4499142715840208
type5_41,1.3262292918895469,1.295720022031503
type5_42,1.1923829851793926,1.1597733566233615
type5_43,1.0741792713194513,1.0396493882179243
type5_44,0.9695557180357355,0.9332817275003435
type5_45,0.8767510419786504,0.8389043499021795
type5_46,0.7942570625419307,0.7550036745287798
type5_47,0.7207789486163279,0.6802789283986499
type5_48,0.6552022208483663,0.6136092576890064
type5_49,0.5965652765583513,0.5540263526636977
type5_50,0.5440364447919706,0.5006915935874758
type5_51,0.4968947694467829,0.45287691561634347
type5_52,0.45451387000736077,0.4099487424294921
type5_53,0.4163483505574277,0.37135445961519054
type5_54,0.3819223249018364,0.3366109960811059
type5_55,0.35081970384970873,0.30529516003576873
type5_56,0.3226759538908368,0.2770354393003345
type5_57,0.29717108770586265,0.2515050269417429
type5_58,0.27402368858230375,0.2284158748476557
type5_59,0.25298580475674726,0.20751361180964523
type5_60,0.2338385774744438,0.18857319043269172
type6_15,16.21918145218956,16.314549847478474
type6_16,13.628802986805113,13.716398085973879
type6_17,11.546201257965208,11.626780260351211
type6_18,9.854311813698814,9.928557586741022
type6_19,8.466689912181891,8.53521413917133
type6_20,7.318704215566754,7.3820523108569205
type6_21,6.361438639386279,6.420095538270743
type6_22,5.5574355548355925,5.61183178095871
type6_23,4.87769340600039,4.9282110347478465
type6_24,4.299524847919429,4.346503137052423
type6_25,3.8050108165178926,3.848751380618637
type6_26,3.3798717325746566,3.420643208245565
type6_27,3.0126339682221897,3.0506761622633576
type6_28,2.6940076721388095,2.7295352126327543
type6_29,2.4164175723398102,2.449623098226766
type6_30,2.1736456929975247,2.2047026253420654
type6_31,1.9605567906015722,1.9896217311599003
type6_32,1.7728855338595508,1.8001003357625223
type6_33,1.6070702027700463,1.6325637554424475
type6_34,1.4601217477328987,1.4840115145231607
type6_35,1.3295199523277006,1.3519132952615678
type6_36,1.2131305361197064,1.2341258581157035
type6_37,1.109138556753237,1.1288262877422426
type6_38,1.0159945887880895,1.034458038596938
type6_39,0.932370984853776,0.9496870824816028
type6_40,0.8571261430333266,0.8733660790994691
type6_41,0.7892751697201561,0.8045049563706925
type6_42,0.7279656799984764,0.7422466404018451
type6_43,0.6724577469934729,0.6858469447066113
type6_44,0.62210721874618,0.6346578356555028
type6_45,0.5763517814157808,0.588113451611548
type6_46,0.5346992723648327,0.5457183781742287
type6_47,0.49671784437015276,0.5070377798121513
type6_48,0.462027659124999,0.47168906524194654
type6_49,0.4302938490941415,0.4393348249306541
type6_50,0.4012205352204319,0.40967682765165137
type6_51,0.37454572672510267,0.38245090184778974
type6_52,0.3500369603381728,0.35742255873827844
type6_53,0.3274875613948893,0.33438323926105795
type6_54,0.30671342955849923,0.3131470873249782
type6_55,0.28755026845811926,0.2935481684206138
