index,SMILE,FractionCSP3,fr_halogen,IP,SMR_VSA7,ExactMolWt,HomoLumoGap,Chi0v,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_CHGHI,GWP
79,C(C(F)(F)F)Cl,1.0,4,0.431566028,0.0,117.979712404,0.31956,3.474893619241911,1.5,1.5,2.2396997123866873,2.588831726
80,C(C(F)(F)F)F,1.0,4,0.465805406,0.0,102.009262944,0.42813,2.7189646732234567,1.3333333333333333,1.3333333333333333,2.2559858417036147,3.184691431
81,C(C(F)(F)F)O,1.0,3,0.41202365,0.0,100.013599376,0.36098,2.7882137957141873,1.5,1.5,2.240695021670212,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,1.0,8,0.44815765,0.0,217.997790444,0.40703,5.639070855724227,1.1538461538461537,1.3846153846153846,2.60141748465519,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,1.0,7,0.434114265,0.0,200.007212256,0.40175,5.338456651904626,1.4166666666666667,1.6666666666666667,2.45057921774677,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,1.0,6,0.450522174,0.0,168.000984004,0.4162,4.383141909705774,1.3,1.4,2.369585166470281,3.041392685
85,C(C(F)(F)F)OC(F)F,1.0,5,0.434837613,0.0,150.010405816,0.41141,4.082527705886172,1.6666666666666667,1.7777777777777777,2.285662973694156,2.943494516
86,C(C(F)(F)F)OC=O,0.6666666666666666,3,0.41206806,0.0,128.008513996,0.29053,3.7348470503315814,2.0,2.125,2.272300862779062,1.738780558
87,C(C(F)(F)F)OCC(F)(F)F,1.0,6,0.390384198,0.0,182.016634068,0.35659,5.090248690892321,1.0,1.1818181818181819,2.3241419790847453,1.387389826
88,C(C(F)Cl)(F)Cl,1.0,4,0.41812027,0.0,133.950161864,0.31375,4.17841632245307,1.1666666666666667,1.1666666666666667,2.1066629310123077,2.086359831
89,C(C(F)Cl)Cl,1.0,3,0.40263497,0.0,115.959583676,0.29848,3.930208361440764,2.0,2.0,1.9051184125736924,1.668385917
90,C(C(F)F)(C(F)(F)F)F,1.0,6,0.446135934,0.0,152.006069384,0.39126,3.9224873764346153,1.2222222222222223,1.2222222222222223,2.459297545236536,3.176091259
91,C(C(F)F)(C(F)F)F,1.0,5,0.425523876,0.0,134.015491196,0.38037,3.6218731726150137,0.875,0.875,2.284365651601248,2.40654018
92,C(C(F)F)(F)F,1.0,4,0.44230689,0.0,102.009262944,0.41552,2.6665584304161607,0.8333333333333334,0.8333333333333334,2.150139227572538,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,1.0,6,0.443660829,0.0,168.000984004,0.41983,4.330735666898478,1.4,1.5,2.3704618804712863,3.100370545
94,C(C(F)F)C(F)(F)F,1.0,5,0.448141575,0.0,134.015491196,0.43359,3.6742794154223097,1.5,1.5,2.3126419155016467,2.983175072
95,C(C(F)F)F,1.0,3,0.437768714,0.0,84.018684756,0.40601,2.418350469403855,1.6,1.6,1.9452630201378156,2.561101384
96,C(C(F)F)O,1.0,2,0.395412296,0.0,82.023021188,0.35736,2.4875995918945857,1.8,1.8,1.9232390669354036,0.790988475
97,C(C(F)F)OC(C(F)(F)F)(F)F,1.0,7,0.42061607,0.0,200.007212256,0.38777,5.338456651904626,1.4166666666666667,1.6666666666666667,2.59267204822431,2.983626287
98,C(C(F)F)OC(C(F)F)(F)F,1.0,6,0.412228567,0.0,182.016634068,0.38723,5.037842448085025,1.5454545454545454,1.8181818181818181,2.422997501311838,2.919601024
99,C(C(F)F)OC(F)(F)F,1.0,5,0.421283431,0.0,150.010405816,0.39895,4.082527705886172,1.6666666666666667,1.7777777777777777,2.2976170346343747,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,1.0,9,0.44160814,0.0,235.988368632,0.41661,5.887278816736533,1.1428571428571428,1.3571428571428572,2.65280518632523,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,1.0,9,0.45755003,0.0,235.988368632,0.41088,5.887278816736533,1.1428571428571428,1.3571428571428572,2.6164050398776166,3.64246452
102,C(C=O)C(F)(F)F,0.6666666666666666,3,0.384324082,0.0,112.013599376,0.22868,3.3265987598677182,1.8571428571428572,1.8571428571428572,2.2509351933894077,-1.602059991
103,C(CBr)Br,1.0,2,0.36698874,0.0,185.867974328,0.2502,5.342135586620958,1.25,1.25,1.6040319905411808,0.008600172
104,C(CC(F)(F)F)CO,1.0,3,0.383171433,0.0,128.044899504,0.34344,4.202427358087283,1.75,1.875,2.249582325655947,-1.30980392
105,C(CCl)Cl,1.0,2,0.397082481,0.0,97.969005488,0.30045,3.682000400428458,1.25,1.25,1.6127040840331655,0.113943352
106,C(CF)F,1.0,2,0.435398311,0.0,66.028106568,0.39959,2.1701425083915495,1.25,1.25,1.6467800100244814,1.33243846
107,C(CF)O,1.0,1,0.385083898,0.0,64.032443,0.35533,2.23939163088228,2.0,2.0,1.612094853557628,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,1.0,4,0.40852219,0.0,151.87541072,0.2469,5.035573676110727,0.8,0.8,2.1078899801062283,3.342422681
109,C(Cl)(Cl)Cl,1.0,3,0.4066057,0.0,117.91438307199999,0.26614,3.9790305262726706,1.0,1.0,1.7844788021305247,1.31386722
110,C(Cl)Br,1.0,2,0.38953315,0.0,127.902839844,0.25797,3.8049612123381604,2.0,2.0,1.4089690257543381,0.675778342
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,11,0.37929881,0.0,314.01647520000006,0.30746,8.519036360974548,0.9473684210526315,1.2105263157894737,2.8631157892901977,-0.273272791
112,C(CO)C(F)(F)F,1.0,3,0.390538614,0.0,114.02924944,0.35691,3.4953205769007347,1.7142857142857142,1.7142857142857142,2.248364256276663,-0.207608311
113,C(CO)C(F)(F)F,1.0,3,0.392805693,0.0,114.02924944,0.34552,3.4953205769007347,1.7142857142857142,1.7142857142857142,2.248364256276663,-0.207608311
114,C(F)(Cl)(Cl)Cl,1.0,4,0.41484832,0.0,135.90496126,0.26004,4.279644730092272,1.2,1.2,2.137867577543918,3.794488047
115,C(F)(Cl)Cl,1.0,3,0.4224273,0.0,101.943933612,0.29459,3.223101580254216,1.5,1.5,1.8086727575422943,2.204119983
116,C(F)(F)(Br)Br,1.0,4,0.39051257,0.0,207.83348064,0.22834,5.183850970266317,1.2,1.2,2.1486782398356294,2.334453751
117,C(F)(F)(Cl)Br,1.0,4,0.41649533,0.0,163.88399622,0.24998,4.353783377170068,1.6,1.6,2.158261534997523,3.285557309
118,C(F)(F)(Cl)Cl,1.0,4,0.43204057,0.0,119.9345118,0.29035,3.5237157840738176,1.2,1.2,2.1682292146499336,4.096910013
119,C(F)(F)(F)Br,1.0,4,0.42967108,0.0,147.91354676,0.28013,3.597854431151613,1.2,1.2,2.190095330251471,3.857332496
120,C(F)(F)(F)Cl,1.0,4,0.46668444,0.0,103.96406234,0.34132,2.767786838055363,1.2,1.2,2.2022441874993386,4.209515015
121,C(F)(F)(F)F,1.0,4,0.552391616,0.0,87.99361288,0.60756,2.011857892036909,0.8,0.8,2.2413642695776215,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,1.0,8,0.48719863,0.0,195.95929676,0.31006,4.748460655465406,0.8,0.8,2.8485874085867566,4.267171728
123,C(F)(F)Br,1.0,3,0.41649525,0.0,129.922968572,0.28107,3.2972402273320114,1.5,1.5,1.8256049319772636,2.579783597
124,C(F)(F)Cl,1.0,3,0.450858998,0.0,85.973484152,0.33856,2.4671726342357623,1.5,1.5,1.8324542280151057,3.292256071
125,C(F)(F)F,1.0,3,0.513551347,0.0,70.003034692,0.50549,1.7112436882173077,1.0,1.0,1.8570132616406272,4.164352856
126,C(F)F,1.0,2,0.462914254,0.0,52.012456504,0.44412,1.463035727205002,1.3333333333333333,1.3333333333333333,1.4390215266577693,2.887054378
127,C(OC(C(F)(F)F)C(F)(F)F)F,1.0,7,0.414008661,0.0,200.007212256,0.38006,5.338456651904626,1.25,1.3333333333333333,2.575275891224285,2.290034611
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,16,0.42209997,0.0,465.969760064,0.40549,11.835125268382335,0.5357142857142857,0.7142857142857143,2.7569516298273444,3.728353782
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,12,0.42972064,0.0,349.981232564,0.40972,8.915019085881564,0.7142857142857143,0.9047619047619048,2.71826958795849,3.758154622
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,1.0,10,0.44077539,0.0,299.984426124,0.42476,7.6590901398631095,1.0,1.3333333333333333,2.6591281940789484,3.507855872
131,C(OC(F)(F)F)(F)F,1.0,5,0.47727846,0.0,135.994755752,0.47323,3.3754209246996254,1.5,1.5,2.330159479876764,4.155336037
132,C(OC(F)F)(F)F,1.0,4,0.46223828,0.0,118.004177564,0.46523,3.074806720880024,1.1428571428571428,1.1428571428571428,2.0882560229987557,3.821513528
133,C=C(C(F)(F)F)C(F)(F)F,0.5,6,0.420570216,12.152040213667764,164.006069384,0.27334,4.474893619241911,1.0,1.0,2.485466102514497,-0.42365865
