Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC,
382,COJMOF_clean,3.489403693,2.678483042,0.673924591,0.272507497,0.126129875,0.02425939,8.26857,7.93421,1871,2162.64,0.750661,0.649433,115.2431899,0.810920651,191.1232163,2.004558451,
2066,SAKZEL_clean,5.688631754,4.673409523,2.673911813,0.339626525,0.169306861,0.042706516,11.40075,8.61751,2084.25,2171.28,0.765216,0.734542,150.7470177,1.015222231,248.4287137,1.99949771,
2261,UJAQUS_clean,3.477198315,2.432792247,0.434963044,0.352561887,0.152554148,0.027590609,7.11911,6.1027,2000.59,2021.4,0.657203,0.650438,88.76394761,1.044406068,143.5236636,1.997829203,
2677,XATZUQ_clean,3.743550804,3.303721298,1.350908506,0.164360787,0.07844927,0.027129953,7.56075,6.43545,1677.08,1880.2,0.710015,0.633312,204.9878071,0.439829505,379.0155329,1.952812792,2.64050975
2759,YAMYUJ_clean,4.8565795,3.012330357,1.068331185,0.480570908,0.186716965,0.030778961,11.34828,7.79458,1812.73,2048.54,0.78972,0.698815,90.95268724,1.844249144,145.1982323,1.943999172,
2788,YILCAZ_clean,5.043423734,3.762709644,1.855058614,0.514193328,0.170931488,0.038906444,10.3564,6.62625,2243.01,2545.32,0.81096,0.714642,88.27577319,1.28071409,198.1167265,1.90765103,
2770,YASVOG_clean,6.709283924,6.551046095,4.6522,0.189885394,0.063295131,0.0316,12.05289,6.27919,2351.52,2250.24,0.713149,0.745246,317.9999999,0.158237828,931.4999993,1.898846095,
1722,OPAHIY_clean,3.278177675,2.607330222,0.7139847,0.3677364,0.136359713,0.026618557,10.04486,7.28733,1586.89,1433.18,0.54364,0.601945,80.23029288,0.670847453,172.0887459,1.893345522,
2458,VURNED02_clean,4.515377344,4.345603275,2.455747822,0.057409371,0.041032124,0.030275019,7.87329,7.03486,2004.24,2037.41,0.66442,0.653601,707.8704317,0.169774068,953.1660992,1.889855453,
2521,WIJXAQ_clean,3.931850898,3.067698641,1.178563784,0.408490789,0.160050451,0.032614826,8.39733,7.8244,1908.59,1996.92,0.687881,0.657455,86.62779924,0.864152257,172.5036546,1.889134857,
1600,NENHEU_clean,5.843791043,4.949342974,3.068221687,0.244574783,0.144710113,0.044661802,9.96925,9.18698,1758.34,1588.64,0.617999,0.684017,215.0430995,0.894448069,307.8159905,1.881121287,
1314,KOSLEL_clean,2.9893236,2.048199866,0.187395386,0.266532448,0.115789454,0.020078555,10.95857,9.85075,1620.56,1347.04,0.539918,0.649548,100.9404769,0.941123734,159.2010166,1.86080448,
1304,KOSJEJ_clean,2.981908957,2.003258885,0.171373617,0.283539126,0.118897042,0.018084318,11.06598,9.80954,1603.09,1350.88,0.535978,0.636045,94.65071361,0.978650072,151.6381708,1.831885268,
2634,XAMDUM04_clean,4.80384797,2.42931615,0.601181041,0.398410824,0.155880121,0.028115459,12.93642,6.39412,2148.16,2334.97,0.77557,0.71352,108.5177136,2.37453182,140.260639,1.828135109,
